solID;optimalModel;delta_perf_q;changes;pas
519895;workload5;0.017777447;5.0;4.0
547913;workload5;-0.076501854;4.0;1.0
642884;workload5;0.017568346;5.0;1.0
751561;workload5;0.010986142;4.5;1.0
