solID;optimalModel;delta_perf_q;changes;pas
218266;workload5;0.002164239;4.5;1.0
289708;workload5;0.008597823;5.0;1.0
340332;workload5;0.009884623;5.0;4.0
78807;workload5;-0.087603465;4.0;1.0
122251;workload5;-0.11662036;4.0;0.0
